226983;71;1368;0,04;0,06
226206;33;701;0,049;0,06
226215;30;628;0,061;0,06
226218;64;1258;0,05;0,06
226220;12;276;0,056;0,06
226221;62;933;0,031;0,06
226224;39;747;0,051;0,06
226942;32;762;0,056;0,06
226943;52;1279;0,07;0,06
226946;28;651;0,057;0,06
226948;20;482;0,091;0,06
226950;64;1433;0,052;0,06
226963;16;362;0,06;0,06
226995;18;410;0,064;0,06
226284;36;810;0,048;0,06
227030;46;988;0,06;0,06
226314;23;232;0,049;0,06
226329;68;1254;0,04;0,06
226602;48;1134;0,037;0,06
226609;49;1090;0,034;0,06
226673;50;1081;0,037;0,06
226231;70;908;0,031;0,06
226235;61;894;0,034;0,06
226250;47;784;0,064;0,06
226973;14;307;0,08;0,06
226974;41;932;0,062;0,06
226975;17;393;0,076;0,06
226980;10;229;0,084;0,06
226986;70;999;0,033;0,06
226987;45;904;0,034;0,06
226265;31;449;0,076;0,06
226276;44;837;0,03;0,06
226983;71;1368;0,04;0,06
226206;33;701;0,049;0,06
226215;30;628;0,061;0,06
226218;64;1258;0,05;0,06
226220;12;276;0,056;0,06
226221;62;933;0,031;0,06
226224;39;747;0,051;0,06
226942;32;762;0,056;0,06
226943;52;1279;0,07;0,06
226946;28;651;0,057;0,06
226948;20;482;0,091;0,06
226950;64;1433;0,052;0,06
226963;16;362;0,06;0,06
226995;18;410;0,064;0,06
226284;36;810;0,048;0,06
227030;46;988;0,06;0,06
226314;23;232;0,049;0,06
226329;68;1254;0,04;0,06
226602;48;1134;0,037;0,06
226609;49;1090;0,034;0,06
226673;50;1081;0,037;0,06
226231;70;908;0,031;0,06
226235;61;894;0,034;0,06
226250;47;784;0,064;0,06
226973;14;307;0,08;0,06
226974;41;932;0,062;0,06
226975;17;393;0,076;0,06
226980;10;229;0,084;0,06
226986;70;999;0,033;0,06
226987;45;904;0,034;0,06
226265;31;449;0,076;0,06
226276;44;837;0,03;0,06
