1300773;40;327;5;16;0,047;0;True
1300774;9;138;10;23;0,054;0;True
1300775;8;161;16;24;0,066;0;True
1300776;15;266;13;25;0,068;0;True
1300778;33;262;1;13;0,099;0;True
1300779;75;420;0,5;5;0,039;0;True
1300780;75;429;0,6;6;0,038;0;True
1300781;51;415;0,6;7;0,065;0;True
1300782;95;366;0,4;4;0,03;0;True
1300783;24;248;2;15;0,069;0;True
1300784;49;396;1;10;0,054;0;True
1300786;52;231;1;6;0,085;0;True
1300787;13;241;13;23;0,078;0;True
1300788;22;234;8;23;0,06;0;True
1300789;40;420;3;24;0,059;0;True
1300790;45;360;0,3;14;0,05;0;True
1300791;14;230;10;24;0,068;0;True
1300792;51;383;1,5;13;0,051;0;True
1300793;20;285;5;21;0,073;0;True
1300795;7;134;15;23;0,083;0;True
1300798;29;276;1;19;0,05;0;True
1300799;43;406;5;21;0,068;0;True
1300800;54;393;1,5;11;0,044;0;True
1300802;33;230;2;8;0,054;0;True
1300803;11;171;11;22;0,095;0;True
1300804;27;212;2;12;0,083;0;True
1300806;46;475;2;18;0,084;0;True
1300809;35;353;2;13;0,07;0;True
1300810;45;339;2;9;0,043;0;True
1300811;34;260;2;9;0,069;0;True
1300813;7;130;21;22;0,084;0;True
1300814;42;440;3;20;0,05;0;True
1300815;49;500;3;19;0,054;0;True
1300817;44;469;3;16;0,067;0;True
1300818;40;400;2;17;0,058;0;True
1300819;2;60;21;22;0,082;0;True
