0:227286:2,86533333333333:21,3353333333333:208:1300,27706593481:0,0329999998211861:0,0481301245918229:0
1:227287:17,8413333333333:23,8206666666667:202:1241,07519110318:0,0529999993741512:0,0583683077282022:0
2:227289:12,4333333333333:24,5953333333333:193:1303,38724491514:0,0489999987185001:0,0473741287810809:0
3:227290:0,665333333333333:21,5586666666667:202:426,917972959321:0,111000001430511:0,0348716661734956:0
4:227292:0,614:12,1233333333333:223:415,802270297346:0,0419999994337559:0,0545704187619831:0
5:227296:0,534:12,436:205:619,66083289837:0,0489999987185001:0,0424417914423285:0
6:227298:0,816:14,6926666666667:211:742,115661621094:0,0450000017881393:0,0466822563343097:0
7:227300:1,60466666666667:21,9186666666667:222:1157,61958681304:0,0469999983906746:0,0545437959785934:0
8:227301:3,89733333333333:25,764:220:1103,75874907395:0,0590000003576279:0,057459949469198:0
9:227302:20,1006666666667:24,8733333333333:221:1059,68147646148:0,0649999976158142:0,0723320329740443:0
10:227303:4,128:22,626:201:970,877959152748:0,0560000017285347:0,0460989653981662:0
11:227304:0,693333333333333:15,8666666666667:203:1100,08954278354:0,0390000008046627:0,0399888836960179:0
12:227305:0,708:15,4533333333333:228:1121,54626254378:0,0450000017881393:0,0384912155700299:0
13:227306:1,082:17,3686666666667:220:1111,68887223869:0,0489999987185001:0,041820680350348:0
14:227307:0,91:14,586:220:1112,17079109981:0,0469999983906746:0,0387666838089826:0
15:227309:2,716:23,3106666666667:197:1255,44434856546:0,046000000089407:0,0469216651477065:0
16:227310:12,6073333333333:24,5886666666667:202:1150,58204598262:0,0509999990463257:0,0597149687484161:0
17:227312:0,574666666666667:12,492:212:616,738812676791:0,0359999984502792:0,0445386231018672:0
18:227313:0,769333333333333:15,1246666666667:225:1160,88681766905:0,0410000011324883:0,0377589882672461:0
19:227314:1,79466666666667:18,392:214:790,190067685884:0,0520000010728836:0,0484846844352668:0
20:227315:2,048:18,4233333333333:207:1115,74117515827:0,0419999994337559:0,043494516658663:0
21:227322:3,74066666666667:21,526:201:963,687742035964:0,0469999983906746:0,0510401007995991:0
22:227324:1,312:12,7553333333333:209:1166,15303618332:0,0390000008046627:0,0334268847772686:0
23:227325:7,296:23,3113333333333:206:1191,92538557381:0,0489999987185001:0,0536038359809041:0
24:227327:3,77133333333333:22,2366666666667:223:1184,5223220299:0,0590000003576279:0,048596089853449:0
25:227330:0,311333333333333:6,49666666666667:224:1032,914750724:0,0320000015199184:0,0279717182199046:0
26:227331:1,03133333333333:15,458:212:1160,79267830684:0,0549999997019768:0,0374910585328766:0
27:227332:2,22333333333333:20,852:204:1102,05495479189:0,0599999986588955:0,0474704801648478:0
28:227333:0,73:11,9866666666667:205:1098,04122819572:0,0370000004768372:0,03465218934131:0
29:227334:0,506:8,052:202:1076,08363921067:0,0370000004768372:0,0295748315688751:0
30:227336:0,886:19,8753333333333:209:1299,78191086342:0,0329999998211861:0,0420237041398623:0
31:227337:0,832666666666667:16,7266666666667:203:1124,84893798828:0,0520000010728836:0,0410815408902237:0
32:227338:11,5566666666667:25,4166666666667:205:1095,10496573613:0,063000001013279:0,0642318010870938:0
33:227339:0,787333333333333:13,0866666666667:208:1077,87776341932:0,0399999991059303:0,0374605210260556:0
34:227341:1,678:19,094:207:1199,83459893588:0,0500000007450581:0,0436406914330952:0
35:227342:2,192:18,992:209:1255,33395070043:0,0480000004172325:0,0428188394699846:0
36:227343:0,953333333333333:14,0073333333333:204:1236,95030896417:0,0520000010728836:0,0356890142999964:0
37:227345:2,384:19,0933333333333:197:1245,29811254041:0,0410000011324883:0,0447429634077388:0
38:227347:1,81933333333333:19,752:199:1293,04371800916:0,0379999987781048:0,0442712188286191:0
39:227350:8,58533333333333:22,36:198:1292,81300932786:0,0579999983310699:0,0501248313188478:0
40:227348:3,64066666666667:21,6113333333333:197:1290,98772982893:0,0410000011324883:0,0480556442277542:0
41:227354:0,546:14,082:226:1249,88236210264:0,0430000014603138:0,0380062870367753:0
42:227357:1,72133333333333:19,4833333333333:204:1115,42015549232:0,0570000000298023:0,0486720948240462:0
43:227359:0,56:14,004:201:1173,14442812163:0,0480000004172325:0,0371306658658275:0
44:227360:0,384666666666667:8,11733333333333:202:1190,50197627627:0,0390000008046627:0,0274483364920983:0
45:227361:3,54066666666667:19,5206666666667:209:770,181577485183:0,0480000004172325:0,0581213520522681:0
46:227362:0,943333333333333:14,9653333333333:202:766,420977362271:0,0350000001490116:0,0508601960810154:0
47:227363:0,246:16,534:207:1246,51892510776:0,0439999997615814:0,0410606765610059:0
48:227364:2,46933333333333:21,786:207:810,779852505388:0,0529999993741512:0,0595892056593504:0
49:227365:0,487333333333333:11,698:215:749,756758065059:0,046000000089407:0,0475366977276979:0
50:227367:1,03866666666667:17,7506666666667:196:889,800156165814:0,0520000010728836:0,0502088207445562:0
51:227369:0,55:12,7393333333333:198:1262,05839170259:0,0370000004768372:0,0349554164724331:0
52:227370:0,394666666666667:13,158:207:1296,93647292565:0,046000000089407:0,0357756255174907:0
53:227371:7,61266666666667:20,8233333333333:199:1292,21706206223:0,063000001013279:0,0463079080243429:0
54:227373:0,188:10,622:207:1307,06725653287:0,034000001847744:0,0328242736910297:0
55:227374:5,14533333333333:22,498:207:1304,14419029499:0,0509999990463257:0,0495865040878794:0
56:227376:2,31:16,9086666666667:208:1243,33717504041:0,0480000004172325:0,0433374307536602:0
57:227378:0,2:10,3226666666667:197:971,505937247441:0,0549999997019768:0,0406375288996587:0
58:221111:13,524:21,9056:180:1028,51875605831:0,05:0,0431006905424679:0
59:220011:22,6526666666667:24,3566666666667:229:1250,8064453125:0,05:0,0482145440047355:0
