3301714;131;3,44;1058,57;0,053;0,047443;True
3301715;34;11,24;424,96;0,064;0,07003;True
3301716;92;3,01;625,29;0,045;0,049688;True
3301717;83;3,28;678,46;0,041;0,050696;True
3301718;58;6,4;575,88;0,046;0,058637;True
3301719;15;15,88;231,04;0,099;0,080786;True
3301720;135;5,43;1106,94;0,059;0,051094;True
3301721;107;5,43;1007,05;0,058;0,052981;True
3301722;87;13,55;824,86;0,045;0,070732;True
3301723;87;8,12;883,78;0,057;0,059788;True
3301724;109;8,12;1412,16;0,047;0,057577;True
3301725;77;9,14;819;0,075;0,062547;True
3301726;60;9,41;744,2;0,073;0,064255;True
3301728;43;7,69;437,7;0,072;0,062362;True
3301729;47;8,28;487,11;0,06;0,063215;True
3301730;59;8,39;700,06;0,054;0,06235;True
3301732;45;7,42;469,16;0,065;0,061649;True
3301735;52;9,57;613,81;0,065;0,065279;True
3301736;92;7,42;1156,75;0,051;0,05764;True
3301737;46;9,57;535,11;0,064;0,065776;True
3301740;57;9,68;663,15;0,051;0,065111;True
3301741;78;4,41;720,11;0,041;0,053195;True
3301742;102;8,39;1272,58;0,046;0,058774;True
3301743;54;7,69;578,31;0,054;0,061457;True
3301745;44;12,26;583,09;0,063;0,071196;True
3301777;83;2,492;708,38;0,04;0,049074;True
3301778;32;8,79;395,61;0,086;0,065306;True
3301779;162;1,89;1321,8;0,053;0,042009;True
3301780;62;7,82;829,91;0,051;0,060816;True
3301781;105;1,89;762,22;0,048;0,046428;True
3301782;35;8,52;457,41;0,08;0,064482;True
3301785;115;5,02;1122,14;0,057;0,051483;True
3301786;104;6,96;1457,71;0,067;0,055494;True
3301787;56;6,58;598,56;0,058;0,059083;True
3301789;107;4,8;995,04;0,067;0,051742;True
3301790;51;6,58;562,76;0,063;0,059449;True
3301791;73;3,94;677,77;0,056;0,052632;True
3301792;84;3,4;844,93;0,045;0,050605;True
3301795;86;4,21;861,79;0,042;0,052073;True
3301796;63;4,1;606,84;0,039;0,053683;True
3301797;64;7,39;806,66;0,068;0,059872;True
3301798;43;8,63;509,72;0,057;0,064124;True
3301799;95;3,83;961,33;0,061;0,050598;True
3301800;78;5,72;807,07;0,062;0,055672;True
3301801;61;9,44;831,36;0,085;0,064112;True
